0,date,time,p_open,p_high,p_low,p_close,volume,st_bullish,st_bearish,st_neutral,ss_asia,ss_europe,ss_newyork,vol_diff,upper_wick_length,lower_wick_length,support,resistance
103,2019.05.30,00:00,1.26208,1.26403,1.25805,1.26038,86169,0,1,0,0,0,0,-1.0,4.0,4.0,0,0
104,2019.05.31,00:00,1.26038,1.26445,1.25588,1.2631,111866,1,0,0,0,0,0,2.0,5.0,3.0,1,0
105,2019.06.03,00:00,1.26267,1.26741,1.26104,1.26629,110273,1,0,0,0,0,0,,5.0,4.0,0,0
106,2019.06.04,00:00,1.26635,1.27145,1.26422,1.2696,123833,1,0,0,0,0,0,1.0,4.0,4.0,0,0
107,2019.06.05,00:00,1.26961,1.27438,1.26804,1.26836,123802,0,1,0,0,0,0,,2.0,5.0,0,1
108,2019.06.06,00:00,1.26836,1.27421,1.26689,1.26857,128579,1,0,0,0,0,0,0.0,2.0,4.0,1,0
109,2019.06.07,00:00,1.26871,1.2763,1.26529,1.26836,230000,0,1,0,0,0,0,4.0,2.0,4.0,0,1
110,2019.06.11,00:00,1.26794,1.27322,1.26702,1.27193,130033,1,0,0,0,0,0,-3.0,4.0,5.0,1,0
111,2019.06.12,00:00,1.2717,1.27586,1.26814,1.26869,130503,0,1,0,0,0,0,0.0,3.0,5.0,0,1
112,2019.06.13,00:00,1.2687,1.27078,1.2662,1.2674,114210,0,1,0,0,0,0,-1.0,3.0,4.0,0,0
113,2019.06.14,00:00,1.2671,1.26818,1.258,1.25894,121839,0,1,0,0,0,0,0.0,5.0,5.0,0,0
114,2019.06.17,00:00,1.25798,1.26058,1.25322,1.25332,87600,0,1,0,0,0,0,-2.0,4.0,5.0,0,0
115,2019.06.18,00:00,1.25331,1.25647,1.25061,1.25563,124625,1,0,0,0,0,0,3.0,5.0,3.0,1,0
116,2019.06.19,00:00,1.25563,1.26738,1.25426,1.26406,120923,1,0,0,0,0,0,,4.0,5.0,0,0
117,2019.06.20,00:00,1.2638,1.27269,1.26375,1.27028,148770,1,0,0,0,0,0,2.0,4.0,5.0,0,0
118,2019.06.21,00:00,1.27039,1.27465,1.26425,1.27455,137724,1,0,0,0,0,0,,5.0,3.0,0,0
119,2019.06.24,00:00,1.27327,1.27665,1.2708,1.27359,105082,1,0,0,0,0,0,-2.0,3.0,3.0,0,0
120,2019.06.25,00:00,1.27359,1.27836,1.26627,1.26867,255637,0,1,0,0,0,0,5.0,4.0,5.0,0,1
121,2019.06.27,00:00,1.26865,1.27247,1.26604,1.26604,124628,0,1,0,0,0,0,-3.0,3.0,5.0,0,0
122,2019.06.28,00:00,1.26605,1.27346,1.26605,1.26958,114231,1,0,0,0,0,0,,3.0,5.0,1,0
123,2019.07.01,00:00,1.26948,1.27056,1.2632,1.26371,114794,0,1,0,0,0,0,0.0,5.0,5.0,0,1
124,2019.07.02,00:00,1.26376,1.26479,1.2584,1.25916,107731,0,1,0,0,0,0,,5.0,5.0,0,0
125,2019.07.03,00:00,1.25918,1.26002,1.2557,1.25628,94357,0,1,0,0,0,0,-1.0,5.0,5.0,0,0
126,2019.07.04,00:00,1.25629,1.25913,1.25593,1.25766,70683,1,0,0,0,0,0,-2.0,3.0,5.0,1,0
127,2019.07.05,00:00,1.25763,1.25876,1.24812,1.25188,99311,0,1,0,0,0,0,3.0,5.0,4.0,0,1
128,2019.07.08,00:00,1.25255,1.25398,1.24999,1.25165,76514,0,1,0,0,0,0,-2.0,4.0,3.0,0,0
129,2019.07.09,00:00,1.25164,1.2522,1.24396,1.24587,85874,0,1,0,0,0,0,1.0,5.0,4.0,0,0
130,2019.07.10,00:00,1.24584,1.25211,1.24438,1.2497,111869,1,0,0,0,0,0,2.0,4.0,5.0,1,0
131,2019.07.11,00:00,1.2497,1.25715,1.2497,1.25235,111048,1,0,0,0,0,0,,2.0,5.0,0,0
132,2019.07.12,00:00,1.25235,1.25794,1.25201,1.25773,107782,1,0,0,0,0,0,,5.0,5.0,0,0
133,2019.07.15,00:00,1.25456,1.25777,1.25102,1.25161,79268,0,1,0,0,0,0,-2.0,3.0,5.0,0,1
134,2019.07.16,00:00,1.25161,1.25202,1.23963,1.24065,99782,0,1,0,0,0,0,2.0,5.0,5.0,0,0
135,2019.07.17,00:00,1.24065,1.24563,1.23819,1.24308,94637,1,0,0,0,0,0,,4.0,4.0,1,0
136,2019.07.18,00:00,1.24308,1.25584,1.24242,1.25449,107800,1,0,0,0,0,0,1.0,5.0,5.0,0,0
137,2019.07.19,00:00,1.25449,1.25562,1.24759,1.25011,91184,0,1,0,0,0,0,-1.0,5.0,4.0,0,1
138,2019.07.22,00:00,1.24772,1.2518,1.24555,1.24725,78307,0,1,0,0,0,0,-1.0,2.0,4.0,0,0
139,2019.07.23,00:00,1.24725,1.24817,1.24178,1.2438,96163,0,1,0,0,0,0,2.0,5.0,4.0,0,0
140,2019.07.24,00:00,1.24386,1.25224,1.24264,1.24829,89788,1,0,0,0,0,0,,3.0,5.0,1,0
141,2019.07.25,00:00,1.24829,1.25178,1.24369,1.24511,106879,0,1,0,0,0,0,1.0,3.0,5.0,0,1
142,2019.07.26,00:00,1.24511,1.24597,1.23762,1.23833,81022,0,1,0,0,0,0,-2.0,5.0,5.0,0,0
143,2019.07.29,00:00,1.23747,1.23835,1.22123,1.22164,86734,0,1,0,0,0,0,0.0,5.0,5.0,0,0
144,2019.07.30,00:00,1.22164,1.22257,1.21187,1.21529,113247,0,1,0,0,0,0,2.0,5.0,4.0,0,0
145,2019.07.31,00:00,1.21475,1.22496,1.2134,1.21508,128875,1,0,0,0,0,0,1.0,1.0,5.0,1,0
146,2019.08.01,00:00,1.21514,1.21712,1.20794,1.21168,146869,0,1,0,0,0,0,1.0,4.0,3.0,0,1
147,2019.08.02,00:00,1.21131,1.21694,1.20902,1.21565,150672,1,0,0,0,0,0,0.0,5.0,4.0,1,0
148,2019.08.05,00:00,1.21368,1.21883,1.21016,1.21384,144013,1,0,0,0,0,0,,3.0,3.0,0,0
149,2019.08.06,00:00,1.21373,1.22094,1.21358,1.21672,144920,1,0,0,0,0,0,0.0,3.0,5.0,0,0
150,2019.08.07,00:00,1.21672,1.21908,1.21211,1.21417,144235,0,1,0,0,0,0,,4.0,4.0,0,1
151,2019.08.08,00:00,1.21419,1.21827,1.20949,1.21294,114609,0,1,0,0,0,0,-2.0,3.0,4.0,0,0
152,2019.08.09,00:00,1.21271,1.2152,1.20238,1.20254,105774,0,1,0,0,0,0,,5.0,5.0,0,0
153,2019.08.12,00:00,1.20467,1.21065,1.20146,1.20755,137280,1,0,0,0,0,0,2.0,4.0,4.0,1,0
154,2019.08.13,00:00,1.20754,1.20979,1.20417,1.20589,150059,0,1,0,0,0,0,0.0,3.0,4.0,0,1
