0,date,time,p_open,p_high,p_low,p_close,volume,st_bullish,st_bearish,st_neutral,ss_asia,ss_europe,ss_newyork
182,2021.09.08,00:00,1.37814,1.37903,1.37263,1.3771,112930,0,1,0,0,0,0
183,2021.09.09,00:00,1.37708,1.38627,1.37531,1.38332,125104,1,0,0,0,0,0
184,2021.09.10,00:00,1.38334,1.38884,1.3826,1.38304,97962,0,1,0,0,0,0
185,2021.09.13,00:00,1.38338,1.38509,1.3797,1.38288,103245,0,1,0,0,0,0
186,2021.09.14,00:00,1.38375,1.39131,1.38034,1.38059,118818,0,1,0,0,0,0
187,2021.09.15,00:00,1.38059,1.38536,1.37922,1.38326,113343,1,0,0,0,0,0
188,2021.09.16,00:00,1.38405,1.38523,1.37643,1.37895,110012,0,1,0,0,0,0
189,2021.09.17,00:00,1.37895,1.38125,1.37261,1.37277,108983,0,1,0,0,0,0
190,2021.09.20,00:00,1.37397,1.37491,1.36404,1.36523,108049,0,1,0,0,0,0
191,2021.09.21,00:00,1.36453,1.36929,1.36409,1.36499,115659,1,0,0,0,0,0
192,2021.09.22,00:00,1.36566,1.36895,1.36093,1.36095,127770,0,1,0,0,0,0
193,2021.09.23,00:00,1.36095,1.37506,1.36058,1.37192,138813,1,0,0,0,0,0
194,2021.09.24,00:00,1.37193,1.37365,1.36579,1.36681,101966,0,1,0,0,0,0
195,2021.09.27,00:00,1.36592,1.37288,1.36556,1.36961,113340,1,0,0,0,0,0
196,2021.09.28,00:00,1.3696,1.3717,1.35204,1.35334,135165,0,1,0,0,0,0
197,2021.09.29,00:00,1.35333,1.35547,1.34116,1.34257,138878,0,1,0,0,0,0
198,2021.09.30,00:00,1.34254,1.35176,1.34143,1.34733,125330,1,0,0,0,0,0
199,2021.10.01,00:00,1.34733,1.34733,1.34633,1.34633,3,0,1,0,0,0,0
200,2021.10.01,00:00,1.34707,1.35755,1.34333,1.35431,163247,1,0,0,0,0,0
201,2021.10.04,00:00,1.35498,1.36403,1.35317,1.36047,132276,1,0,0,0,0,0
202,2021.10.05,00:00,1.36035,1.36479,1.35844,1.36249,122751,1,0,0,0,0,0
203,2021.10.06,00:00,1.36245,1.3631,1.35438,1.35805,153996,0,1,0,0,0,0
204,2021.10.07,00:00,1.35805,1.36385,1.35703,1.3612,112435,1,0,0,0,0,0
205,2021.10.08,00:00,1.36084,1.36579,1.35835,1.36135,115007,1,0,0,0,0,0
206,2021.10.11,00:00,1.36105,1.36735,1.35841,1.35942,97172,0,1,0,0,0,0
207,2021.10.12,00:00,1.35941,1.36372,1.35682,1.35867,128227,0,1,0,0,0,0
208,2021.10.13,00:00,1.35867,1.36647,1.35754,1.36563,131759,1,0,0,0,0,0
209,2021.10.14,00:00,1.36563,1.37342,1.36476,1.36715,104508,1,0,0,0,0,0
210,2021.10.15,00:00,1.36714,1.37732,1.36673,1.37441,105517,1,0,0,0,0,0
211,2021.10.18,00:00,1.37426,1.37652,1.3709,1.37247,106730,0,1,0,0,0,0
