0,date,time,p_open,p_high,p_low,p_close,volume,st_bullish,st_bearish,st_neutral,ss_asia,ss_europe,ss_newyork
742,2020.06.26,04:00,1.24191,1.24368,1.24145,1.24297,16116,1,0,0,1,0,0
743,2020.06.26,08:00,1.24298,1.2434,1.23981,1.24073,22619,0,1,0,1,0,0
744,2020.06.26,12:00,1.24072,1.24176,1.23668,1.23731,24575,0,1,0,0,1,0
745,2020.06.26,16:00,1.23727,1.23777,1.23144,1.23475,35770,0,1,0,0,1,1
746,2020.06.26,20:00,1.23478,1.23554,1.23252,1.23553,25075,1,0,0,0,0,1
747,2020.06.29,04:00,1.23553,1.23732,1.23502,1.23664,12527,1,0,0,1,0,0
748,2020.06.29,08:00,1.23665,1.23894,1.23303,1.23309,24723,0,1,0,1,0,0
749,2020.06.29,12:00,1.23309,1.23364,1.22992,1.23211,25576,0,1,0,0,1,0
750,2020.06.29,16:00,1.23207,1.23218,1.22515,1.22825,32751,0,1,0,0,1,1
751,2020.06.29,20:00,1.22824,1.2301,1.22747,1.2298,13123,1,0,0,0,0,1
752,2020.06.30,00:00,1.22994,1.23169,1.2283,1.22996,6607,1,0,0,0,0,0
753,2020.06.30,04:00,1.22995,1.23137,1.22955,1.23014,7656,1,0,0,1,0,0
754,2020.06.30,08:00,1.23016,1.23016,1.22595,1.22726,22029,0,1,0,1,0,0
755,2020.06.30,12:00,1.22732,1.22888,1.22577,1.22885,23521,1,0,0,0,1,0
756,2020.06.30,16:00,1.22885,1.23921,1.22789,1.2379,42820,1,0,0,0,1,1
757,2020.06.30,20:00,1.2379,1.24016,1.23675,1.24,19282,1,0,0,0,0,1
758,2020.07.01,00:00,1.24002,1.2401,1.23765,1.23836,5627,0,1,0,0,0,0
759,2020.07.01,04:00,1.23836,1.23927,1.23594,1.23602,13976,0,1,0,1,0,0
760,2020.07.01,08:00,1.23603,1.24137,1.23593,1.23864,20439,1,0,0,1,0,0
761,2020.07.01,12:00,1.23865,1.24213,1.23728,1.2414,33085,1,0,0,0,1,0
762,2020.07.01,16:00,1.24142,1.24862,1.24112,1.24813,37498,1,0,0,0,1,1
763,2020.07.01,20:00,1.24814,1.24903,1.24629,1.24629,16714,0,1,0,0,0,1
764,2020.07.02,00:00,1.24616,1.248,1.24606,1.2469,6392,1,0,0,0,0,0
765,2020.07.02,04:00,1.24689,1.24942,1.24672,1.24923,13151,1,0,0,1,0,0
766,2020.07.02,08:00,1.24922,1.25236,1.24783,1.25231,20076,1,0,0,1,0,0
767,2020.07.02,12:00,1.2523,1.25296,1.24883,1.24896,25311,0,1,0,0,1,0
768,2020.07.02,16:00,1.24897,1.25207,1.24561,1.24612,36207,0,1,0,0,1,1
769,2020.07.02,20:00,1.24611,1.24693,1.24573,1.24646,11040,1,0,0,0,0,1
770,2020.07.03,00:00,1.24639,1.24724,1.24575,1.24627,5777,0,1,0,0,0,0
771,2020.07.03,04:00,1.24628,1.24726,1.24569,1.24595,11855,0,1,0,1,0,0
772,2020.07.03,08:00,1.24594,1.24865,1.24379,1.24628,21431,1,0,0,1,0,0
773,2020.07.03,12:00,1.24628,1.24628,1.24394,1.24557,19711,0,1,0,0,1,0
774,2020.07.03,16:00,1.24558,1.24714,1.24454,1.24693,16510,1,0,0,0,1,1
775,2020.07.03,20:00,1.24691,1.24882,1.24624,1.24829,21101,1,0,0,0,0,1
776,2020.07.06,00:00,1.24613,1.24891,1.24574,1.24802,6686,1,0,0,0,0,0
777,2020.07.06,04:00,1.24804,1.24976,1.24759,1.24968,12992,1,0,0,1,0,0
778,2020.07.06,08:00,1.24964,1.25097,1.24758,1.24905,25479,0,1,0,1,0,0
779,2020.07.06,12:00,1.2491,1.25195,1.24858,1.251,23359,1,0,0,0,1,0
780,2020.07.06,16:00,1.251,1.25199,1.248,1.24844,28505,0,1,0,0,1,1
781,2020.07.06,20:00,1.24844,1.25037,1.24841,1.24876,13951,1,0,0,0,0,1
782,2020.07.07,00:00,1.24872,1.25181,1.24818,1.25131,5541,1,0,0,0,0,0
783,2020.07.07,04:00,1.25129,1.25147,1.24896,1.2506,17709,0,1,0,1,0,0
784,2020.07.07,08:00,1.25059,1.25143,1.24671,1.24707,24239,0,1,0,1,0,0
785,2020.07.07,12:00,1.24706,1.25395,1.24623,1.25374,25945,1,0,0,0,1,0
786,2020.07.07,16:00,1.25373,1.25923,1.25241,1.25597,32317,1,0,0,0,1,1
787,2020.07.07,20:00,1.25597,1.25734,1.25328,1.25498,24555,0,1,0,0,0,1
788,2020.07.08,04:00,1.25499,1.25667,1.25432,1.25565,13821,1,0,0,1,0,0
789,2020.07.08,08:00,1.25563,1.2568,1.2524,1.25287,22084,0,1,0,1,0,0
790,2020.07.08,12:00,1.25283,1.2566,1.25085,1.25446,23425,1,0,0,0,1,0
791,2020.07.08,16:00,1.25445,1.26031,1.254,1.26031,35099,1,0,0,0,1,1
792,2020.07.08,20:00,1.26028,1.26231,1.25992,1.26095,17562,1,0,0,0,0,1
793,2020.07.09,00:00,1.26088,1.26283,1.25936,1.26115,6312,1,0,0,0,0,0
794,2020.07.09,04:00,1.26115,1.26362,1.26012,1.26313,14782,1,0,0,1,0,0
795,2020.07.09,08:00,1.26313,1.26525,1.26255,1.26405,22969,1,0,0,1,0,0
796,2020.07.09,12:00,1.26406,1.26669,1.26321,1.266,22035,1,0,0,0,1,0
797,2020.07.09,16:00,1.26599,1.26695,1.26,1.26099,43973,0,1,0,0,1,1
798,2020.07.09,20:00,1.261,1.26234,1.26005,1.26062,16614,0,1,0,0,0,1
799,2020.07.10,00:00,1.26062,1.26109,1.25814,1.25915,5608,0,1,0,0,0,0
800,2020.07.10,04:00,1.25915,1.25983,1.25832,1.25853,11023,0,1,0,1,0,0
801,2020.07.10,08:00,1.25854,1.25975,1.25668,1.25971,23880,1,0,0,1,0,0
802,2020.07.10,12:00,1.2597,1.26256,1.25852,1.2615,23341,1,0,0,0,1,0
803,2020.07.10,16:00,1.26148,1.26641,1.26148,1.2627,33598,1,0,0,0,1,1
804,2020.07.10,20:00,1.2627,1.26416,1.26171,1.26397,20373,1,0,0,0,0,1
805,2020.07.13,04:00,1.26398,1.26587,1.26396,1.26519,9802,1,0,0,1,0,0
806,2020.07.13,08:00,1.26518,1.26661,1.25968,1.26078,19885,0,1,0,1,0,0
807,2020.07.13,12:00,1.2608,1.26166,1.25916,1.2604,20930,0,1,0,0,1,0
808,2020.07.13,16:00,1.2604,1.26383,1.26019,1.26143,25294,1,0,0,0,1,1
809,2020.07.13,20:00,1.26143,1.26195,1.25502,1.25533,21762,0,1,0,0,0,1
810,2020.07.14,00:00,1.25535,1.25612,1.25409,1.25476,6085,0,1,0,0,0,0
