0,date,time,p_open,p_high,p_low,p_close,volume,st_bullish,st_bearish,st_neutral,ss_asia,ss_europe,ss_newyork,vol_diff,upper_wick_length,lower_wick_length,support,resistance
23725,2020.12.14,13:00,1.21504,1.21606,1.21499,1.2154,1064,1,0,0,0,1,0,3.0,2.0,5.0,0,0
23726,2020.12.14,13:15,1.21544,1.21595,1.21532,1.21593,869,1,0,0,0,1,0,-1.0,5.0,5.0,0,0
23727,2020.12.14,13:30,1.21594,1.21596,1.21506,1.21529,940,0,1,0,0,1,0,0.0,5.0,4.0,0,1
23728,2020.12.14,13:45,1.21531,1.21588,1.21503,1.21549,1161,1,0,0,0,1,0,2.0,3.0,4.0,1,0
23729,2020.12.14,14:00,1.21548,1.21595,1.21524,1.21558,1015,1,0,0,0,1,0,-1.0,3.0,4.0,0,0
23730,2020.12.14,14:15,1.21559,1.21591,1.21544,1.21576,913,1,0,0,0,1,0,-1.0,4.0,4.0,0,0
23731,2020.12.14,14:30,1.21575,1.21706,1.2157,1.21647,1523,1,0,0,0,1,0,4.0,3.0,5.0,0,0
23732,2020.12.14,14:45,1.21646,1.21646,1.21553,1.21575,1262,0,1,0,0,1,0,-1.0,5.0,4.0,0,1
23733,2020.12.14,15:00,1.21574,1.21637,1.21565,1.21618,1310,1,0,0,0,1,1,0.0,4.0,5.0,1,0
23734,2020.12.14,15:15,1.21617,1.21657,1.21596,1.2161,1291,0,1,0,0,1,1,,2.0,4.0,0,1
23735,2020.12.14,15:30,1.21609,1.2164,1.21571,1.21595,854,0,1,0,0,1,1,-2.0,3.0,4.0,0,0
23736,2020.12.14,15:45,1.21596,1.21766,1.2159,1.21711,1465,1,0,0,0,1,1,4.0,4.0,5.0,1,0
23737,2020.12.14,16:00,1.21711,1.21712,1.21626,1.21646,1733,0,1,0,0,1,1,1.0,5.0,4.0,0,1
23738,2020.12.14,16:15,1.21647,1.21659,1.21556,1.21572,1456,0,1,0,0,1,1,-1.0,5.0,5.0,0,0
23739,2020.12.14,16:30,1.21575,1.21684,1.21546,1.21637,2116,1,0,0,0,1,1,3.0,4.0,4.0,1,0
23740,2020.12.14,16:45,1.21636,1.21664,1.21566,1.21644,1935,1,0,0,0,1,1,,4.0,2.0,0,0
23741,2020.12.14,17:00,1.21644,1.2166,1.2137,1.21389,2688,0,1,0,0,1,1,2.0,5.0,5.0,0,1
23742,2020.12.14,17:15,1.2139,1.2139,1.21286,1.21361,2525,0,1,0,0,1,1,,5.0,2.0,0,0
23743,2020.12.14,17:30,1.2136,1.21386,1.21276,1.21348,1906,0,1,0,0,1,1,-2.0,4.0,2.0,0,0
