0,date,time,p_open,p_high,p_low,p_close,volume,st_bullish,st_bearish,st_neutral,ss_asia,ss_europe,ss_newyork,vol_diff,upper_wick_length,lower_wick_length
174,2019.09.04,00:00,127.878,130.429,127.855,130.313,215503,1,0,0,0,0,0,,5.0,5.0
175,2019.09.05,00:00,130.313,132.166,129.915,131.801,247684,1,0,0,0,0,0,1.0,5.0,5.0
176,2019.09.06,00:00,131.796,132.127,131.265,131.35,212574,0,1,0,0,0,0,-1.0,4.0,5.0
177,2019.09.09,00:00,131.075,132.56,130.809,132.382,182343,1,0,0,0,0,0,-1.0,5.0,5.0
178,2019.09.10,00:00,132.369,132.915,132.018,132.731,185216,1,0,0,0,0,0,0.0,4.0,4.0
179,2019.09.11,00:00,132.731,133.364,132.672,132.917,181680,1,0,0,0,0,0,,2.0,5.0
180,2019.09.12,00:00,132.886,133.646,132.168,133.233,220835,1,0,0,0,0,0,2.0,4.0,3.0
181,2019.09.13,00:00,133.211,135.186,133.211,135.08,175525,1,0,0,0,0,0,-2.0,5.0,5.0
182,2019.09.16,00:00,133.983,134.868,133.875,134.32,197811,1,0,0,0,0,0,1.0,3.0,5.0
183,2019.09.17,00:00,134.32,135.429,133.988,135.115,192952,1,0,0,0,0,0,,4.0,4.0
184,2019.09.18,00:00,135.12,135.664,134.595,135.23,182988,1,0,0,0,0,0,,3.0,3.0
185,2019.09.19,00:00,135.231,135.516,134.266,135.256,196419,1,0,0,0,0,0,0.0,4.0,2.0
186,2019.09.20,00:00,135.26,135.746,134.075,134.12,197494,0,1,0,0,0,0,0.0,4.0,5.0
187,2019.09.23,00:00,134.267,134.549,133.35,133.685,159710,0,1,0,0,0,0,-1.0,4.0,4.0
188,2019.09.24,00:00,133.701,134.61,133.549,133.709,187904,1,0,0,0,0,0,1.0,1.0,5.0
189,2019.09.25,00:00,133.709,134.01,132.84,133.054,208015,0,1,0,0,0,0,1.0,4.0,5.0
190,2019.09.26,00:00,133.054,133.292,132.384,132.857,184472,0,1,0,0,0,0,-1.0,4.0,3.0
191,2019.09.27,00:00,132.857,133.279,132.319,132.636,192427,0,1,0,0,0,0,0.0,3.0,4.0
192,2019.09.30,00:00,132.649,133.335,132.411,132.809,171076,1,0,0,0,0,0,-1.0,3.0,4.0
193,2019.10.01,00:00,132.811,133.356,131.778,132.497,193252,0,1,0,0,0,0,1.0,4.0,3.0
194,2019.10.02,00:00,132.497,132.61,131.577,131.839,202677,0,1,0,0,0,0,0.0,5.0,4.0
195,2019.10.03,00:00,131.839,132.546,131.479,131.799,224073,0,1,0,0,0,0,1.0,2.0,4.0
196,2019.10.04,00:00,131.781,131.989,131.281,131.848,182364,1,0,0,0,0,0,-1.0,5.0,2.0
197,2019.10.07,00:00,131.268,132.241,131.212,131.799,159241,1,0,0,0,0,0,-1.0,3.0,5.0
198,2019.10.08,00:00,131.799,132.116,130.429,130.837,204540,0,1,0,0,0,0,2.0,5.0,4.0
199,2019.10.09,00:00,130.842,131.819,130.647,131.168,165085,1,0,0,0,0,0,-1.0,3.0,5.0
200,2019.10.10,00:00,131.176,134.555,130.723,134.189,246511,1,0,0,0,0,0,3.0,5.0,5.0
201,2019.10.11,00:00,134.191,137.888,133.983,137.154,248763,1,0,0,0,0,0,0.0,5.0,5.0
202,2019.10.14,00:00,136.752,137.168,135.499,136.643,177054,0,1,0,0,0,0,-2.0,4.0,2.0
203,2019.10.15,00:00,136.652,139.324,136.45,139.116,222377,1,0,0,0,0,0,2.0,5.0,5.0
204,2019.10.16,00:00,139.116,140.096,137.51,139.484,229038,1,0,0,0,0,0,0.0,4.0,2.0
205,2019.10.17,00:00,139.48,141.499,138.623,140.05,229715,1,0,0,0,0,0,0.0,3.0,4.0
206,2019.10.18,00:00,140.064,140.644,139.348,140.644,201249,1,0,0,0,0,0,-1.0,5.0,3.0
207,2019.10.21,00:00,140.359,141.356,139.468,140.736,192867,1,0,0,0,0,0,,4.0,3.0
208,2019.10.22,00:00,140.736,141.119,139.517,139.602,184743,0,1,0,0,0,0,,4.0,5.0
209,2019.10.23,00:00,139.601,140.428,139.084,140.346,197852,1,0,0,0,0,0,0.0,5.0,4.0
210,2019.10.24,00:00,140.348,140.74,138.868,139.553,181773,0,1,0,0,0,0,,4.0,4.0
211,2019.10.25,00:00,139.575,139.799,139.026,139.438,151167,0,1,0,0,0,0,-1.0,4.0,3.0
212,2019.10.28,00:00,139.268,140.262,139.257,140.039,134045,1,0,0,0,0,0,-1.0,4.0,5.0
213,2019.10.29,00:00,140.039,140.537,139.468,140.089,160639,1,0,0,0,0,0,1.0,3.0,3.0
214,2019.10.30,00:00,140.093,140.506,139.956,140.356,167501,1,0,0,0,0,0,0.0,4.0,4.0
215,2019.10.31,00:00,140.356,140.688,139.606,139.772,204848,0,1,0,0,0,0,2.0,4.0,5.0
216,2019.11.01,00:00,139.802,140.156,139.612,139.956,170728,1,0,0,0,0,0,-1.0,4.0,4.0
217,2019.11.04,00:00,139.913,140.237,139.842,139.855,134677,0,1,0,0,0,0,-2.0,1.0,5.0
218,2019.11.05,00:00,139.858,140.749,139.826,140.604,172866,1,0,0,0,0,0,2.0,5.0,5.0
219,2019.11.06,00:00,140.605,140.67,139.871,140.032,144525,0,1,0,0,0,0,-1.0,5.0,4.0
